"tipo","nombre","threshold","cv_f1","kaggle_f1"
"04_Elastic_Net","EN_full_AUC_lambda_1e-04_alpha_0.25",0.35,0.6739,NA
"04_Elastic_Net","EN_full_F_lambda_1e-04_alpha_0.75",0.35,0.6741,NA
"06_Random_Forest","RF_LowVar_3",0.35,0.7879,NA
"06_Random_Forest","RF_LowVar_6",0.4,0.88,NA
"07_Boosting","XGB_depth_3_eta_0.4",0.34,0.6926,NA
"07_Boosting","XGB_depth_6_eta_0.1_rounds_300",0.33,0.6955,NA
"05_CART","CART_cp_0.020803",0.25,0.5658,NA
"05_CART","CART_cp_0.000022",0.25,0.6413,NA
"05_CART","CART_cp_0.000127",0.26,0.6505,NA
"05_CART","CART_podado_cp_0.0001",0.29,0.6535,NA
"06_Random_Forest","RF_mtry_6",0.35,0.6747,NA
"06_Random_Forest","RF_mtry_7",0.355,0.6769,NA
"01_Base_models","logit_baseline",0.345,0.6759,NA
"02_LPM","lpm_baseline",0.36,0.6663,NA
"03_Logit","logit_baseline",0.345,0.6759,NA
"03_Logit","logit_scaled",0.345,0.6759,NA
"04_Elastic_Net","EN_ridge_lambda_0.011721",0.32,0.6678,NA
"04_Elastic_Net","EN_lasso_lambda_1e-04",0.325,0.6757,NA
"04_Elastic_Net","EN_mix_lambda_1e-04",0.32,0.6759,NA
"07_Boosting","xgb_depth6_eta005_rounds1000",0.37,0.7685,NA
